,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,0.0,2.15,2.2,-1.03,-16.43,-2.98,0.0,0.0,1031.28,0.0,0.57,1.37,1.31,1.13,1.13,59.0,43.0,34.0,31.0,30.5,-3.31,896.25,-22.67,-6.69,-1.86,1.95,3.28,10.0,0.0,13.2,7.5,6.9,1.5,1.6,-3.1
1,7.35,1.7,1.7,0.3,-16.38,2.78,0.0,-2.98,1027.83,2.66,0.45,1.52,1.34,1.33,1.33,43.0,45.5,31.0,26.5,26.0,5.11,894.43,-22.22,-6.14,-0.27,4.2,5.69,9.92,0.0,15.1,9.7,4.9,2.5,2.5,1.4
2,7.41,2.03,2.0,0.71,-15.73,3.6,0.0,2.78,1024.74,3.82,0.3,1.53,1.49,1.5,1.5,26.5,50.0,31.5,28.0,28.0,5.56,892.26,-21.47,-7.21,0.44,5.1,6.57,10.0,0.0,12.6,7.8,5.9,2.8,2.7,0.1
3,7.37,1.95,2.0,-0.43,-14.77,-1.69,0.0,-1.34,1023.84,3.59,0.33,1.46,1.41,1.52,1.52,33.0,48.0,31.0,35.0,34.5,-4.27,891.18,-22.29,-7.28,0.66,4.79,6.2,10.0,0.0,8.5,7.3,5.9,1.9,1.9,-1.4
4,6.22,1.63,1.6,-0.95,-14.21,-3.44,0.0,-3.52,1023.6,-1.66,0.42,1.47,1.51,1.53,1.53,43.0,49.0,32.5,39.5,39.0,-4.77,891.09,-22.68,-7.38,0.91,5.16,6.49,10.0,0.0,7.6,6.1,5.1,1.2,1.4,-3.5
5,5.67,1.16,1.2,-0.6,-13.83,-2.99,0.0,-3.46,1022.79,-2.97,0.67,1.0,1.55,1.55,1.55,67.0,32.0,34.5,41.5,41.0,-5.47,890.07,-22.61,-6.97,0.65,4.71,5.98,9.84,0.0,6.9,5.2,4.2,1.2,1.2,-4.5
6,4.7,1.14,1.1,-0.57,-13.87,-3.08,0.0,-3.07,1021.08,-2.74,0.91,0.89,1.61,1.57,1.57,91.5,30.0,36.5,40.5,40.0,-5.66,888.33,-22.57,-7.42,0.29,4.32,5.58,9.77,0.0,8.2,3.2,4.0,1.4,1.4,-4.4
7,5.3,1.44,1.4,-0.98,-14.01,-4.09,0.0,-4.03,1019.65,-2.93,0.63,0.91,1.6,1.58,1.58,64.5,32.0,38.0,43.0,42.5,-6.44,886.88,-22.85,-8.0,0.07,4.12,5.36,9.38,0.0,7.4,3.1,4.2,1.4,1.5,-6.1
8,5.95,1.77,1.8,-1.17,-12.47,-2.31,0.0,-4.7,1019.51,-2.78,0.51,1.25,1.65,1.62,1.62,54.0,46.0,38.5,42.5,42.5,-2.8,886.64,-23.26,-8.51,-0.21,3.87,5.04,1.48,0.0,7.0,5.8,4.6,1.2,1.3,-4.7
9,9.3,2.96,3.0,0.1,-12.43,3.25,0.0,-2.31,1016.55,3.15,0.2,0.88,1.68,1.68,1.68,21.25,32.0,34.67,30.5,30.0,5.78,885.19,-23.44,-8.2,1.13,5.79,7.35,0.0,0.0,8.9,9.4,5.4,3.1,3.1,-0.1
10,9.99,3.37,3.4,-0.31,-13.49,3.84,0.0,3.25,1013.4,4.03,0.08,0.71,1.81,1.82,1.82,9.0,27.0,32.81,30.16,29.15,5.53,883.18,-23.16,-8.73,2.76,7.54,9.1,7.58,0.0,10.9,11.2,5.7,3.5,3.5,2.5
11,9.85,2.2,2.2,-0.36,-11.76,-1.16,0.0,-0.85,1013.78,3.82,0.83,1.61,1.84,1.95,1.95,100.0,62.5,35.5,38.27,37.76,-3.65,883.18,-24.62,-9.16,2.56,7.05,8.38,7.27,0.0,14.9,11.2,4.8,1.7,1.6,-1.2
